Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-09 20:22:47;43,0 °C;44,0 °C;43,0 °C;43,0 °C;50,0 °C;15,1 W;11,1 W;0,0 W;9,6 %;72,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:49;53,0 °C;44,0 °C;46,0 °C;44,0 °C;53,0 °C;16,0 W;11,9 W;0,0 W;11,7 %;72,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:51;45,0 °C;45,0 °C;43,0 °C;42,0 °C;51,0 °C;14,9 W;10,7 W;0,0 W;18,1 %;72,8 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:53;43,0 °C;46,0 °C;44,0 °C;43,0 °C;49,0 °C;14,9 W;10,8 W;0,0 W;10,3 %;73,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:55;45,0 °C;44,0 °C;50,0 °C;43,0 °C;50,0 °C;16,2 W;12,2 W;0,0 W;11,2 %;72,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:57;46,0 °C;56,0 °C;45,0 °C;47,0 °C;56,0 °C;14,8 W;10,9 W;0,0 W;9,6 %;73,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:59;53,0 °C;46,0 °C;44,0 °C;43,0 °C;53,0 °C;14,9 W;11,0 W;0,0 W;9,1 %;73,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:01;53,0 °C;44,0 °C;44,0 °C;43,0 °C;52,0 °C;14,9 W;11,0 W;0,0 W;14,0 %;73,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:03;46,0 °C;57,0 °C;43,0 °C;47,0 °C;56,0 °C;15,2 W;11,3 W;0,0 W;10,1 %;73,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:05;43,0 °C;44,0 °C;54,0 °C;46,0 °C;54,0 °C;14,4 W;10,4 W;0,0 W;9,2 %;73,2 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:07;43,0 °C;43,0 °C;43,0 °C;43,0 °C;50,0 °C;16,5 W;12,6 W;0,0 W;9,6 %;73,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:10;44,0 °C;46,0 °C;43,0 °C;44,0 °C;50,0 °C;15,6 W;11,3 W;0,0 W;10,2 %;73,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:12;43,0 °C;44,0 °C;43,0 °C;44,0 °C;50,0 °C;13,9 W;9,9 W;0,0 W;10,9 %;73,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:23:14;44,0 °C;44,0 °C;45,0 °C;43,0 °C;49,0 °C;14,9 W;10,8 W;0,0 W;9,3 %;73,1 %;0,0 °C;0,0 %;2,4 %
