Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Disk Read (Mo/s),Disk Write (Mo/s),Network (Ko/s),CPU Temperature (°C),Encrypted Files,Encrypted Disk Usage (%),Encryption Speed (o/s)
19:57:39.950,115.95,24.6,636.89,21.5,0.0,0.0,0.0,65.7,127,15.28,1048576
19:57:41.060,117.06,25.9,636.89,21.5,0.0,0.0,0.0,65.7,129,15.69,2097152
19:57:42.160,118.16,25.4,636.64,21.5,0.0,4.36,0.0,65.7,131,16.09,2097152
19:57:43.260,119.26,25.9,636.63,21.5,0.0,0.0,0.0,65.7,133,16.5,2097152
19:57:44.360,120.36,25.4,636.39,21.5,0.0,0.0,0.0,65.7,135,16.9,2097152
19:57:45.460,121.46,25.5,636.39,21.5,0.0,0.0,0.0,66.2,137,17.31,2097152
19:57:46.560,122.56,25.9,636.39,21.5,0.0,0.0,0.0,65.7,139,17.71,2097152
19:57:47.660,123.66,25.1,636.14,21.5,0.0,9.05,0.0,65.7,141,18.12,2097152
19:57:48.760,124.76,25.1,636.38,21.5,0.0,0.0,0.0,65.7,143,18.52,2097152
19:57:49.870,125.87,25.0,636.62,21.5,0.0,0.0,0.0,65.7,145,18.93,2097152
19:57:50.970,126.97,25.1,636.38,21.5,0.0,0.0,0.0,65.7,146,19.34,2097152
19:57:52.070,128.07,25.4,636.61,21.5,0.0,0.04,0.0,66.2,148,19.54,1048576
19:57:53.180,129.18,25.6,636.61,21.5,0.0,10.06,0.0,65.7,150,19.94,2097152
19:57:54.280,130.28,25.9,636.36,21.5,0.0,0.0,0.0,67.2,152,20.35,2097152
19:57:55.380,131.38,25.1,636.61,21.5,0.0,0.0,0.0,65.7,154,20.75,2097152
19:57:56.480,132.48,25.1,636.36,21.5,0.0,0.0,0.0,66.7,156,21.16,2097152
19:57:57.580,133.58,25.5,636.61,21.5,0.0,0.0,0.0,66.2,158,21.57,2097152
19:57:58.680,134.68,25.6,636.35,21.5,0.0,10.1,0.0,66.2,160,21.97,2097152
19:57:59.780,135.78,25.7,636.6,21.5,0.0,0.0,0.0,67.2,162,22.38,2097152
19:58:00.890,136.89,25.1,636.35,21.5,0.0,0.0,0.0,66.2,164,22.78,2097152
19:58:01.990,137.99,25.0,636.35,21.5,0.0,0.0,0.0,66.2,166,23.19,2097152
19:58:03.090,139.09,25.5,636.11,21.5,0.0,0.0,0.0,66.7,167,23.39,1048576
19:58:04.200,140.2,25.5,636.34,21.5,0.0,8.11,0.0,66.7,169,23.8,2097152
19:58:05.300,141.3,25.1,636.59,21.5,0.0,1.0,0.0,65.2,171,24.2,2097152
19:58:06.410,142.41,25.5,636.34,21.5,0.0,0.0,0.0,66.2,173,24.61,2097152
19:58:07.510,143.51,25.0,636.1,21.5,0.0,0.0,0.0,67.6,175,25.01,2097152
19:58:08.610,144.61,25.0,636.88,21.5,0.0,0.49,0.0,67.2,388,25.47,2373188
19:58:09.720,145.72,31.7,636.87,21.5,0.0,6.0,0.0,66.2,428,25.85,1971384
19:58:10.840,146.84,30.7,636.63,21.5,0.0,4.0,0.0,67.6,468,26.23,1941368
19:58:11.960,147.96,31.2,636.62,21.5,0.0,0.0,0.0,68.1,569,26.6,1944063
19:58:13.080,149.08,27.3,636.37,21.5,0.0,0.0,0.0,67.6,654,26.89,1490327
19:58:14.190,150.19,25.1,636.6,21.5,0.0,0.66,0.0,68.6,655,27.16,1402218
19:58:15.300,151.3,25.9,636.6,21.5,0.0,5.01,0.0,67.2,662,27.56,2071507
19:58:16.410,152.41,29.8,636.3,21.5,0.0,5.0,0.0,67.6,1033,27.98,2170094
19:58:17.530,153.53,25.0,636.59,21.5,0.0,0.0,0.0,67.2,1033,27.98,0
19:58:18.640,154.64,24.0,636.58,21.5,0.0,0.44,0.0,67.6,1033,27.98,0
19:58:19.760,155.76,25.0,636.58,21.5,0.0,0.0,0.0,68.1,1033,27.98,0
19:58:20.880,156.88,25.1,636.58,21.5,0.0,4.01,0.0,66.7,1033,27.98,0
19:58:21.990,157.99,25.0,636.82,21.5,0.0,6.0,0.0,66.7,1033,27.98,0
19:58:23.110,159.11,25.0,637.17,21.5,0.0,0.0,0.0,68.1,1033,27.98,0
19:58:24.220,160.22,24.6,637.31,21.5,0.0,0.02,0.0,67.6,1033,27.98,0
19:58:25.330,161.33,24.6,637.31,21.5,0.0,0.0,0.0,68.1,1033,27.98,0
