Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
210.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
211.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
212.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
213.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
214.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
215.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
216.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
217.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
218.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
219.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
220.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
221.0,39.92,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
222.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
223.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
224.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
225.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
226.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
227.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
228.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
229.0,42.355,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
230.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
231.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
232.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
233.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
234.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
235.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
236.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
237.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
238.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
239.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
240.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
241.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
