Timestamp;CPU Temperature (°C);CPU Usage (%);RAM Usage (%)
01:10:18.804;61.4;2.27;52.81
01:10:20.115;60.9;2.24;52.80
01:10:21.434;60.6;4.30;52.80
01:10:22.737;59.8;4.44;52.80
01:10:24.045;59.4;3.37;52.80
01:10:25.361;59.1;2.24;52.79
01:10:26.679;58.8;2.22;52.79
01:10:27.984;58.1;2.24;52.79
01:10:29.300;57.9;3.33;52.83
01:10:30.610;57.4;2.24;52.83
01:10:31.912;56.9;3.26;52.84
01:10:33.236;56.6;4.34;52.84
01:10:34.556;56.4;3.33;52.83
01:10:35.876;56.1;2.27;52.84
01:10:37.195;55.8;3.40;52.83
01:10:38.508;55.4;2.24;52.83
01:10:39.818;55.1;2.24;52.83
01:10:41.132;54.8;6.45;52.84
01:10:42.459;54.5;3.22;52.86
01:10:43.786;54.4;3.26;52.84
01:10:45.100;54.0;2.24;52.84
01:10:46.416;53.8;1.9;52.85
01:10:47.731;53.6;2.22;52.84
01:10:49.053;53.5;3.37;52.85
01:10:50.372;53.0;2.24;52.84
01:10:51.685;52.9;4.44;52.84
01:10:53.006;52.8;3.19;52.84
01:10:54.321;52.6;2.22;52.84
01:10:55.641;52.4;3.33;52.84
01:10:56.954;52.2;3.29;52.84
01:10:58.272;52.0;4.34;52.84
01:10:59.576;51.9;3.40;52.84
01:11:00.879;51.8;2.24;52.84
01:11:02.199;51.6;2.29;52.85
01:11:03.514;51.4;4.34;52.85
01:11:04.833;51.1;3.40;52.85
01:11:06.156;51.1;3.37;52.85
01:11:07.478;51.0;4.44;52.85
01:11:08.796;50.9;3.44;52.85
01:11:10.104;50.9;2.24;52.85
01:11:11.415;50.4;5.37;52.85
01:11:12.724;50.4;3.33;52.85
01:11:14.034;50.4;4.16;52.83
01:11:15.345;50.2;3.26;52.83
01:11:16.654;50.1;3.33;52.83
01:11:17.971;50.1;2.24;52.83
01:11:19.293;50.0;5.37;52.83
01:11:20.606;49.9;1.14;52.83
01:11:21.921;49.9;1.17;52.83
01:11:23.237;49.8;5.37;52.77
01:11:24.554;49.8;2.19;52.79
01:11:25.862;49.6;3.33;52.80
01:11:27.178;49.6;2.27;52.80
01:11:28.486;49.8;2.27;52.80
01:11:29.797;49.5;2.29;52.79
01:11:31.110;49.6;5.61;52.79
01:11:32.428;49.5;3.29;52.79
01:11:33.754;49.4;4.49;52.80
01:11:35.065;49.2;2.27;52.80
01:11:36.377;49.4;3.37;52.79
01:11:37.693;49.2;5.37;52.79
01:11:38.999;49.1;3.37;52.79
01:11:40.316;49.1;3.37;52.79
01:11:41.625;49.0;3.52;52.79
01:11:42.937;49.0;1.11;52.80
01:11:44.267;48.9;2.24;52.80
01:11:45.582;48.9;2.24;52.80
01:11:46.906;48.8;3.40;52.80
01:11:48.227;48.8;5.49;52.80
01:11:49.528;48.9;3.37;52.80
01:11:50.844;48.6;2.27;52.79
01:11:52.155;48.6;2.29;52.79
01:11:53.465;48.8;2.27;52.81
01:11:54.770;48.5;3.37;52.80
01:11:56.075;48.5;2.32;52.80
01:11:57.382;48.5;2.19;52.80
01:11:58.690;48.4;2.35;52.80
01:11:59.995;48.2;3.44;52.81
01:12:01.312;48.4;4.49;52.80
01:12:02.627;48.1;2.29;52.80
01:12:03.947;48.1;5.5;52.80
01:12:05.271;48.1;3.22;52.81
01:12:06.590;48.0;3.40;52.81
01:12:07.903;48.0;3.33;52.81
01:12:09.222;48.1;2.22;52.80
01:12:10.535;47.9;3.40;52.80
01:12:11.843;48.0;2.27;52.80
01:12:13.162;47.9;3.40;52.81
01:12:14.467;47.8;2.27;52.80
01:12:15.783;47.8;2.24;52.79
01:12:17.100;47.8;3.37;52.79
01:12:18.402;47.8;1.17;52.79
01:12:19.721;47.6;4.44;52.80
01:12:21.027;47.8;2.27;52.79
01:12:22.339;47.5;3.29;52.79
01:12:23.649;47.5;2.29;52.79
01:12:24.962;47.4;4.44;52.80
01:12:26.291;47.4;3.37;52.79
01:12:27.609;47.4;2.29;52.79
01:12:28.913;47.4;3.29;52.79
01:12:30.233;47.4;3.44;52.79
01:12:31.544;47.4;2.24;52.79
01:12:32.855;47.2;6.25;52.79
01:12:34.166;47.1;2.19;52.80
01:12:35.477;47.4;4.54;52.80
01:12:36.788;47.2;4.44;52.80
01:12:38.102;47.1;1.12;52.80
01:12:39.420;47.1;2.24;52.81
01:12:40.734;47.1;2.27;52.80
01:12:42.050;46.9;2.22;52.83
01:12:43.365;46.9;3.26;52.84
01:12:44.672;46.9;2.24;52.84
01:12:45.980;47.0;2.27;52.84
01:12:47.295;46.9;4.34;52.80
01:12:48.599;46.9;3.40;52.79
01:12:49.912;46.9;3.37;52.80
01:12:51.230;46.6;2.22;52.80
01:12:52.543;46.8;3.40;52.80
01:12:53.858;46.8;3.29;52.80
01:12:55.184;46.8;1.13;52.80
01:12:56.491;46.6;3.29;52.80
01:12:57.808;46.8;2.24;52.80
01:12:59.116;46.6;1.17;52.79
01:13:00.421;46.8;4.25;52.80
01:13:01.739;46.6;2.32;52.80
01:13:03.059;46.6;2.27;52.79
01:13:04.372;46.5;2.24;52.80
01:13:05.683;46.4;2.27;52.84
01:13:06.990;46.5;4.34;52.84
01:13:08.322;46.5;4.30;52.84
01:13:09.636;46.4;2.27;52.84
01:13:10.938;46.4;3.22;52.84
01:13:12.250;46.2;5.31;52.84
01:13:13.567;46.4;2.22;52.90
01:13:14.875;46.2;5.55;52.91
01:13:16.202;46.4;3.29;52.91
01:13:17.515;46.4;5.37;52.91
01:13:18.822;46.5;3.29;52.89
01:13:20.140;46.4;3.29;52.89
01:13:21.447;46.4;2.32;52.89
01:13:22.767;46.4;3.33;52.85
01:13:24.079;46.1;2.24;52.85
01:13:25.391;46.0;2.22;52.85
01:13:26.713;46.2;4.49;52.91
01:13:28.037;46.0;3.33;52.91
01:13:29.345;46.1;2.29;52.91
01:13:30.662;46.1;3.37;52.91
01:13:31.980;46.1;2.24;52.91
01:13:33.294;46.0;5.31;52.90
01:13:34.600;46.0;1.12;52.91
01:13:35.907;46.1;3.40;52.91
01:13:37.237;46.0;4.34;52.92
01:13:38.559;46.0;3.22;52.90
01:13:39.882;45.9;3.22;52.90
01:13:41.196;46.0;3.29;52.90
01:13:42.498;45.9;3.33;52.90
01:13:43.831;45.9;5.31;52.90
01:13:45.146;45.9;4.34;52.90
01:13:46.460;45.9;3.37;52.90
01:13:47.769;45.9;2.27;52.88
01:13:49.081;45.9;3.26;52.88
01:13:50.395;45.6;6.25;52.88
01:13:51.715;45.8;1.14;52.88
01:13:53.026;45.8;2.19;52.88
01:13:54.335;45.6;3.33;52.88
01:13:55.648;45.8;3.33;52.88
01:13:56.959;45.8;4.49;52.88
01:13:58.278;45.6;6.6;52.89
01:13:59.583;45.8;2.24;52.89
01:14:00.899;45.6;4.54;52.89
01:14:02.221;45.5;3.33;52.89
01:14:03.530;45.6;6.59;52.90
01:14:04.842;45.5;2.29;52.92
01:14:06.164;45.6;3.37;52.91
01:14:07.477;45.6;2.29;52.91
01:14:08.798;45.5;5.31;52.91
01:14:10.121;45.5;2.29;52.92
01:14:11.429;45.8;2.24;52.91
01:14:12.741;45.5;2.24;52.91
01:14:14.061;45.5;4.25;52.92
01:14:15.372;45.4;2.17;52.92
01:14:16.678;45.5;1.14;52.92
01:14:17.992;45.4;3.37;52.91
01:14:19.306;45.4;4.21;52.92
01:14:20.621;45.4;2.29;52.91
01:14:21.934;45.2;2.29;52.91
01:14:23.260;45.4;6.12;52.92
01:14:24.564;45.4;2.27;52.92
01:14:25.869;45.1;2.29;52.92
01:14:27.185;45.4;2.22;52.92
01:14:28.494;45.2;3.33;52.92
01:14:29.818;45.2;5.31;52.92
01:14:31.144;45.2;2.32;52.92
01:14:32.448;45.2;1.14;52.92
01:14:33.771;45.1;2.22;52.92
01:14:35.099;45.0;2.24;52.92
01:14:36.407;45.0;3.37;52.92
01:14:37.724;44.9;3.33;52.92
01:14:39.050;45.0;2.32;52.94
01:14:40.360;45.0;4.44;52.92
01:14:41.670;44.9;2.27;52.95
01:14:42.978;45.2;2.24;52.95
01:14:44.288;45.0;4.25;52.96
01:14:45.614;45.0;3.26;52.96
01:14:46.920;44.9;2.27;52.94
01:14:48.235;45.0;3.29;52.94
01:14:49.545;44.9;4.39;52.94
01:14:50.854;45.0;3.29;52.94
01:14:52.181;44.9;7.36;52.94
01:14:53.488;44.9;3.29;52.94
01:14:54.798;44.8;3.33;52.94
01:14:56.123;44.9;2.32;52.92
01:14:57.427;44.9;3.44;52.92
01:14:58.747;44.9;6.45;52.92
01:15:00.076;44.9;3.40;52.92
01:15:01.381;44.8;1.12;52.92
01:15:02.689;44.8;3.33;52.92
01:15:03.999;44.8;5.20;52.94
01:15:05.326;44.8;3.26;52.94
01:15:06.655;44.8;4.39;52.99
