Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:33:26.000,42.0,42.0,42.0,42.0,42.0,3.1,0.7,0.0,0.0
09:33:29.000,37.0,37.0,37.0,38.0,39.0,3.5,1.0,0.0,0.0
09:33:32.000,39.0,39.0,39.0,39.0,39.0,3.4,1.0,0.0,0.0
09:33:35.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:33:38.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0
09:33:41.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:33:44.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0
09:33:47.000,39.0,39.0,39.0,39.0,39.0,3.2,0.8,0.0,0.0
09:33:50.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0
09:33:53.000,39.0,39.0,39.0,39.0,39.0,3.4,1.0,0.0,0.0
09:33:56.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0
09:33:59.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:34:02.000,41.0,41.0,41.0,41.0,41.0,4.6,2.1,0.0,0.0
09:34:05.000,41.0,41.0,41.0,41.0,41.0,3.7,1.3,0.0,0.0
09:34:08.000,42.0,42.0,42.0,41.0,41.0,3.4,1.0,0.0,0.0
09:34:11.000,39.0,39.0,39.0,39.0,40.0,3.2,0.7,0.0,0.0
09:34:14.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:34:17.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:34:20.000,41.0,41.0,41.0,41.0,41.0,3.5,1.0,0.0,0.0
09:34:23.000,45.0,45.0,45.0,45.0,45.0,3.4,1.0,0.0,0.0
09:34:26.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0
09:34:29.000,44.0,43.0,43.0,45.0,45.0,3.3,0.8,0.0,0.0
09:34:32.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:34:35.000,41.0,41.0,41.0,41.0,41.0,3.5,1.1,0.0,0.0
