Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-04 16:14:04;51,0 °C;55,0 °C;52,0 °C;52,0 °C;58,0 °C;8,8 W;4,8 W;0,1 W;7,3 %;74,9 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:14:06;54,0 °C;53,0 °C;55,0 °C;52,0 °C;58,0 °C;9,7 W;5,7 W;0,1 W;7,7 %;74,8 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:14:08;54,0 °C;57,0 °C;51,0 °C;54,0 °C;58,0 °C;19,5 W;14,4 W;0,3 W;15,4 %;74,4 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:14:10;49,0 °C;53,0 °C;50,0 °C;52,0 °C;58,0 °C;11,0 W;7,3 W;0,1 W;9,6 %;74,2 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:14:12;49,0 °C;51,0 °C;51,0 °C;51,0 °C;57,0 °C;5,7 W;2,3 W;0,1 W;3,3 %;74,1 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:14:14;59,0 °C;50,0 °C;52,0 °C;51,0 °C;59,0 °C;5,4 W;2,4 W;0,1 W;4,1 %;74,1 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:14:16;54,0 °C;57,0 °C;54,0 °C;51,0 °C;57,0 °C;6,2 W;3,0 W;0,1 W;5,6 %;74,0 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:14:18;50,0 °C;60,0 °C;50,0 °C;51,0 °C;62,0 °C;9,0 W;5,0 W;0,2 W;6,6 %;74,2 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:20;50,0 °C;53,0 °C;50,0 °C;51,0 °C;57,0 °C;10,7 W;6,6 W;0,1 W;9,1 %;74,6 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:14:22;66,0 °C;84,0 °C;54,0 °C;59,0 °C;84,0 °C;21,7 W;17,3 W;0,1 W;12,8 %;74,6 %;54,0 °C;0,0 %;66,9 %
