Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:46:35.870,2.43,0.01,0.12,0.62,95.082,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:36.855,2.43,0.01,0.12,0.62,96.067,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:37.844,2.44,0.02,0.22,1.11,97.056,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:38.864,2.43,0.01,0.12,0.62,98.076,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:39.850,2.45,0.03,0.32,1.6,99.062,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:40.871,2.43,0.02,0.17,0.86,100.083,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:41.856,2.43,0.02,0.17,0.86,101.068,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:42.876,2.43,0.01,0.12,0.62,102.088,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:43.873,2.44,0.02,0.22,1.11,103.085,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:44.865,2.42,0.01,0.07,0.37,104.077,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:45.859,2.43,0.02,0.17,0.86,105.071,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:46.876,2.43,0.02,0.17,0.86,106.088,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:47.861,2.43,0.02,0.17,0.86,107.073,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:48.848,2.43,0.01,0.12,0.62,108.06,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:49.868,2.45,0.03,0.32,1.6,109.08,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:50.856,2.43,0.02,0.17,0.86,110.068,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:51.876,2.44,0.02,0.22,1.11,111.088,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:52.864,2.43,0.01,0.12,0.62,112.076,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
