Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:33:41.224,44.3,22.2,2.62515,100.937,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:42.467,44.8,22.2,2.64441,102.18,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:43.697,43.3,12.5,2.64961,103.41,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:44.938,44.3,30.0,2.65386,104.651,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:46.173,43.8,22.2,2.65246,105.886,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:47.401,44.3,30.0,2.65246,107.114,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:48.630,43.8,25.0,2.65246,108.343,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:49.856,44.3,30.0,2.64616,109.569,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:51.090,44.3,33.3,2.64711,110.803,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:52.323,44.3,22.2,2.6244,112.036,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:53.567,44.3,22.2,2.62735,113.28,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:54.798,44.3,22.2,2.6318,114.511,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:56.024,43.3,14.3,2.62235,115.737,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:57.255,43.3,25.0,2.62845,116.968,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:58.496,43.8,25.0,2.63335,118.209,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
