Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
186.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
187.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
188.0,41.381,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
189.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
190.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
191.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
192.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
193.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
194.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
195.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
196.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
197.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
198.0,41.381,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
199.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
200.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
201.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
202.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
203.0,43.816,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
204.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
205.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
206.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
207.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
