Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-03-30 19:57/53;128.63;2.36;0.76;3.80
2025-03-30 19:57/54;129.73;2.35;0.81;4.07
2025-03-30 19:57/55;130.83;2.35;0.79;3.94
2025-03-30 19:57/56;131.93;2.35;0.79;3.96
2025-03-30 19:57/57;133.04;2.35;0.82;4.10
2025-03-30 19:57/58;134.14;2.36;0.73;3.67
2025-03-30 19:57/59;135.24;2.37;0.72;3.59
2025-03-30 19:58/00;136.34;2.37;0.72;3.62
2025-03-30 19:58/01;137.44;2.34;0.84;4.20
2025-03-30 19:58/02;138.54;2.33;0.91;4.54
2025-03-30 19:58/04;139.65;2.34;0.85;4.23
2025-03-30 19:58/05;140.75;2.36;0.78;3.88
2025-03-30 19:58/06;141.85;2.35;0.83;4.13
2025-03-30 19:58/07;142.95;2.36;0.77;3.86
2025-03-30 19:58/08;144.05;2.33;0.90;4.49
2025-03-30 19:58/09;145.15;2.33;0.90;4.50
2025-03-30 19:58/10;146.26;2.36;0.78;3.88
2025-03-30 19:58/11;147.36;2.34;0.88;4.40
2025-03-30 19:58/12;148.46;2.35;0.80;3.99
2025-03-30 19:58/13;149.56;2.36;0.78;3.88
2025-03-30 19:58/15;150.66;2.34;0.85;4.23
2025-03-30 19:58/16;151.77;2.36;0.77;3.84
2025-03-30 19:58/17;152.87;2.35;0.80;3.98
2025-03-30 19:58/18;153.97;2.36;0.73;3.67
2025-03-30 19:58/19;155.07;2.34;0.85;4.27
2025-03-30 19:58/20;156.17;2.34;0.86;4.28
2025-03-30 19:58/21;157.27;2.34;0.86;4.29
2025-03-30 19:58/22;158.38;2.35;0.82;4.11
2025-03-30 19:58/23;159.48;2.35;0.83;4.13
2025-03-30 19:58/24;160.58;2.36;0.76;3.80
2025-03-30 19:58/26;161.68;2.36;0.77;3.84
2025-03-30 19:58/27;162.78;2.37;0.71;3.53
2025-03-30 19:58/28;163.88;2.36;0.74;3.69
2025-03-30 19:58/29;164.99;2.36;0.75;3.73
2025-03-30 19:58/30;166.09;2.36;0.75;3.76
2025-03-30 19:58/31;167.19;2.36;0.75;3.74
2025-03-30 19:58/32;168.29;2.34;0.85;4.27
2025-03-30 19:58/33;169.39;2.36;0.76;3.82
2025-03-30 19:58/34;170.5;2.37;0.71;3.54
2025-03-30 19:58/35;171.6;2.35;0.79;3.95
2025-03-30 19:58/37;172.7;2.36;0.75;3.75
2025-03-30 19:58/38;173.8;2.35;0.79;3.94
2025-03-30 19:58/39;174.9;2.36;0.77;3.87
2025-03-30 19:58/40;176.01;2.36;0.76;3.78
2025-03-30 19:58/41;177.11;2.35;0.79;3.95
2025-03-30 19:58/42;178.21;2.36;0.78;3.91
2025-03-30 19:58/43;179.31;2.34;0.86;4.31
2025-03-30 19:58/44;180.41;2.34;0.84;4.20
2025-03-30 19:58/45;181.51;2.36;0.77;3.83
2025-03-30 19:58/46;182.61;2.34;0.87;4.35
2025-03-30 19:58/48;183.71;2.39;0.59;2.97
2025-03-30 19:58/49;184.81;2.38;0.66;3.29
2025-03-30 19:58/50;185.92;2.38;0.67;3.36
2025-03-30 19:58/51;187.02;2.37;0.69;3.46
2025-03-30 19:58/52;188.12;2.37;0.70;3.49
2025-03-30 19:58/53;189.22;2.39;0.61;3.04
2025-03-30 19:58/54;190.32;2.39;0.61;3.03
2025-03-30 19:58/55;191.43;2.37;0.73;3.63
2025-03-30 19:58/56;192.53;2.38;0.67;3.36
2025-03-30 19:58/58;193.63;2.38;0.67;3.33
2025-03-30 19:58/59;194.73;2.36;0.77;3.83
2025-03-30 19:59/00;195.83;2.37;0.68;3.38
2025-03-30 19:59/01;196.94;2.35;0.81;4.04
2025-03-30 19:59/02;198.04;2.35;0.79;3.95
2025-03-30 19:59/03;199.14;2.36;0.75;3.73
2025-03-30 19:59/04;200.24;2.35;0.80;3.99
2025-03-30 19:59/05;201.34;2.39;0.59;2.96
2025-03-30 19:59/06;202.44;2.38;0.64;3.20
2025-03-30 19:59/07;203.55;2.39;0.62;3.10
2025-03-30 19:59/09;204.65;2.39;0.59;2.97
2025-03-30 19:59/10;205.75;2.39;0.58;2.88
2025-03-30 19:59/11;206.85;2.39;0.57;2.85
2025-03-30 19:59/12;207.95;2.38;0.67;3.36
2025-03-30 19:59/13;209.05;2.38;0.67;3.33
2025-03-30 19:59/14;210.16;2.39;0.58;2.92
2025-03-30 19:59/15;211.26;2.39;0.59;2.95
2025-03-30 19:59/16;212.36;2.40;0.54;2.71
2025-03-30 19:59/17;213.46;2.36;0.76;3.82
2025-03-30 19:59/18;214.56;2.37;0.70;3.51
2025-03-30 19:59/20;215.67;2.37;0.70;3.49
2025-03-30 19:59/21;216.77;2.39;0.62;3.08
2025-03-30 19:59/22;217.87;2.41;0.49;2.46
