Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-10 11:55:18;50,0 °C;49,0 °C;49,0 °C;48,0 °C;55,0 °C;14,7 W;10,3 W;0,0 W;8,9 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:20;59,0 °C;51,0 °C;52,0 °C;50,0 °C;59,0 °C;13,6 W;9,2 W;0,0 W;8,6 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:22;58,0 °C;50,0 °C;52,0 °C;48,0 °C;56,0 °C;14,5 W;10,2 W;0,0 W;7,5 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:24;58,0 °C;50,0 °C;50,0 °C;49,0 °C;58,0 °C;14,2 W;9,7 W;0,0 W;8,8 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:26;55,0 °C;50,0 °C;52,0 °C;50,0 °C;55,0 °C;14,1 W;9,6 W;0,0 W;8,3 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:28;58,0 °C;53,0 °C;52,0 °C;50,0 °C;58,0 °C;14,3 W;9,7 W;0,0 W;10,6 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:30;58,0 °C;49,0 °C;49,0 °C;49,0 °C;58,0 °C;15,4 W;10,9 W;0,0 W;8,5 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:32;59,0 °C;50,0 °C;52,0 °C;48,0 °C;59,0 °C;13,5 W;9,2 W;0,0 W;8,2 %;46,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:34;51,0 °C;57,0 °C;49,0 °C;52,0 °C;57,0 °C;14,0 W;9,7 W;0,0 W;10,0 %;45,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:36;49,0 °C;58,0 °C;49,0 °C;52,0 °C;57,0 °C;14,9 W;10,5 W;0,0 W;7,7 %;45,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:38;49,0 °C;50,0 °C;50,0 °C;50,0 °C;55,0 °C;28,5 W;22,8 W;0,0 W;22,4 %;46,5 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:40;54,0 °C;55,0 °C;52,0 °C;56,0 °C;73,0 °C;27,3 W;21,7 W;0,0 W;16,3 %;46,9 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:42;60,0 °C;66,0 °C;52,0 °C;54,0 °C;66,0 °C;24,3 W;19,2 W;0,0 W;13,5 %;47,0 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:44;62,0 °C;70,0 °C;53,0 °C;56,0 °C;70,0 °C;27,3 W;22,2 W;0,0 W;18,3 %;46,8 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:46;50,0 °C;73,0 °C;50,0 °C;61,0 °C;72,0 °C;24,2 W;18,8 W;0,0 W;15,8 %;47,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:48;73,0 °C;58,0 °C;62,0 °C;55,0 °C;70,0 °C;27,9 W;22,5 W;0,0 W;14,9 %;47,8 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:50;51,0 °C;70,0 °C;50,0 °C;58,0 °C;70,0 °C;28,3 W;23,3 W;0,0 W;15,9 %;48,0 %;0,0 °C;0,0 %;2,4 %
