Timestamp,Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
01:11:05.000,17.2,665.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:10.000,16.9,670.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:15.000,17.5,675.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:20.000,17.8,680.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:25.000,19.0,685.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:30.000,19.3,690.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:35.000,16.9,695.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:40.000,17.5,700.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:45.000,18.1,705.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:50.000,17.5,710.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:55.000,18.4,715.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:00.000,16.9,720.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:05.000,17.5,725.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:10.000,17.8,730.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:15.000,18.7,735.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:20.000,17.2,740.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:25.000,17.2,745.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:30.000,16.6,750.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:35.000,17.5,755.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:40.000,18.1,760.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:45.000,17.5,765.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:50.000,17.8,770.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:12:55.000,16.9,775.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:00.000,18.1,780.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:05.000,18.1,785.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:10.000,17.5,790.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:15.000,20.0,795.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:20.000,17.8,800.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:25.000,18.4,805.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:30.000,18.7,810.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:35.000,17.5,815.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:40.000,17.5,820.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:45.000,17.2,825.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:50.000,17.5,830.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:13:55.000,18.1,835.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:00.000,17.2,840.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:05.000,17.8,845.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:10.000,16.6,850.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:15.000,17.5,855.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:20.000,17.8,860.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:25.000,18.1,865.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:30.000,16.9,870.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:35.000,16.6,875.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:40.000,17.5,880.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:45.000,18.1,885.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:50.000,16.9,890.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:14:55.000,18.1,895.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:15:00.000,17.2,900.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
